"All","All"
"Autogenerated site map","Autogenerated site map"
"Catalog Advanced Search","Catalog Advanced Search"
"Go to Home Page","Go to Home Page"
"Grid","Grid"
"Home","Home"
"List","List"
"Name","Name"
"Popular Search Terms","Popular Search Terms"
"Popular search terms","Popular search terms"
"Price","Price"
"Required Fields","Required Fields"
"Results","Results"
"Search","Search"
"Search Settings","Search Settings"
"Search Site","Search Site"
"Search results for '%s'","Search results for '%s'"
"Search results for: '%s'","Search results for: '%s'"
"There is no popular search term.","There is no popular search term."
"Your search returns no results.","Your search returns no results."
