"(eg: domain.com/identifier)","(eg: domain.com/identifier)"
"Action","Action"
"Add New Block","Add New Block"
"Add New Page","Add New Page"
"All Stores","All Stores"
"All countries","All countries"
"All stores","All stores"
"Block Information","Block Information"
"Block Title","Block Title"
"Block was succesfully deleted","Block was succesfully deleted"
"Block was successfully saved","Block was successfully saved"
"CMS","CMS"
"CMS Blocks","CMS Blocks"
"CMS Home Page","CMS Home Page"
"CMS No Route Page","CMS No Route Page"
"CMS Pages","CMS Pages"
"Content","Content"
"Date Created","Date Created"
"Delete Block","Delete Block"
"Delete Page","Delete Page"
"Description","Description"
"Disabled","Disabled"
"Edit Block","Edit Block"
"Edit Block '%s'","Edit Block '%s'"
"Edit Page","Edit Page"
"Edit Page '%s'","Edit Page '%s'"
"Enabled","Enabled"
"General Information","General Information"
"Go to Home Page","Go to Home Page"
"Home","Home"
"Identifier","Identifier"
"Keywords","Keywords"
"Last Modified","Last Modified"
"Layout","Layout"
"Layout Update XML","Layout Update XML"
"Manage Blocks","Manage Blocks"
"Manage Pages","Manage Pages"
"Meta Data","Meta Data"
"Meta Description","Meta Description"
"Meta Keywords","Meta Keywords"
"New Block","New Block"
"New Page","New Page"
"Page Identifier for specified store","Page Identifier for specified store"
"Page Information","Page Information"
"Page Status","Page Status"
"Page Title","Page Title"
"Page was successfully deleted","Page was successfully deleted"
"Page was successfully saved","Page was successfully saved"
"Poll Manager","Poll Manager"
"Preview","Preview"
"SEF URL Identifier","SEF URL Identifier"
"Save Block","Save Block"
"Save Page","Save Page"
"Show breadcrumbs for CMS pages","Show breadcrumbs for CMS pages"
"Static Blocks","Static Blocks"
"Status","Status"
"Store","Store"
"Such a block identifier in selected store","Such a block identifier in selected store"
"The block you are trying to save no longer exists","The block you are trying to save no longer exists"
"The page you are trying to save no longer exists","The page you are trying to save no longer exists"
"This block no longer exists","This block no longer exists"
"This page no longer exists","This page no longer exists"
"Title","Title"
"Unable to find a block to delete","Unable to find a block to delete"
"Unable to find a page to delete","Unable to find a page to delete"
