"Action","Action"
"Alert Templates","Alert Templates"
"Alert subscription was not saved. %s","Alert subscription was not saved. %s"
"Alert subscription was saved successfully.","Alert subscription was saved successfully."
"Alerts Queue","Alerts Queue"
"Back","Back"
"Cancel","Cancel"
"Cancelled","Cancelled"
"Customer Alert Message Preview","Customer Alert Message Preview"
"Customer Communication","Customer Communication"
"Do you really want to cancel the queue?","Do you really want to cancel the queue?"
"Edit Customer Alert","Edit Customer Alert"
"Edit Newsletter","Edit Newsletter"
"Edit Queue","Edit Queue"
"Email","Email"
"Error in using AJAX while saving customers to queue alert","Error in using AJAX while saving customers to queue alert"
"First Name","First Name"
"ID","ID"
"Invalid queue selected","Invalid queue selected"
"Last Name","Last Name"
"Message","Message"
"Newsletter Templates","Newsletter Templates"
"No one store was selected.","No one store was selected."
"No subscribers selected","No subscribers selected"
"Not Sent","Not Sent"
"Not enough parameters","Not enough parameters"
"Notify Now","Notify Now"
"Pause","Pause"
"Paused","Paused"
"Preview","Preview"
"Price lowered from %f to %f","Price lowered from %f to %f"
"Price was changed from %s to %s at %s","Price was changed from %s to %s at %s"
"Price was changed from %s to %s at %s for customer group %s","Price was changed from %s to %s at %s for customer group %s"
"Processed","Processed"
"Product","Product"
"Product Alerts","Product Alerts"
"Product Alerts Queue","Product Alerts Queue"
"Product returned to stock at %s","Product returned to stock at %s"
"Queue Date Start","Queue Date Start"
"Queue Finish","Queue Finish"
"Queue Information","Queue Information"
"Queue Start","Queue Start"
"Recipients","Recipients"
"Reset","Reset"
"Resume","Resume"
"Save Alert Template","Save Alert Template"
"Save And Resume","Save And Resume"
"Select All Stores","Select All Stores"
"Sender Email","Sender Email"
"Sender Name","Sender Name"
"Sending","Sending"
"Sent","Sent"
"Sign up for an alert when the product price changes.","Sign up for an alert when the product price changes."
"Sign up to alert when product comes back in stock.","Sign up to alert when product comes back in stock."
"Start","Start"
"Status","Status"
"Subject","Subject"
"Subscribers From","Subscribers From"
"There are no customers for this alert","There are no customers for this alert"
"Toggle Editor","Toggle Editor"
"Unselect All Stores","Unselect All Stores"
"View Customer Alert","View Customer Alert"
"View Newsletter","View Newsletter"
"Your are not logged in","Your are not logged in"
"back in stock","back in stock"
"price changed","price changed"
