"Checkout Image Style","Checkout Image Style"
"Debug","Debug"
"Enable","Enable"
"Fast checkout through Google","Fast checkout through Google"
"Google API","Google API"
"Google Checkout","Google Checkout"
"Google Checkout Coupons and Gift Certificates","Google Checkout Coupons and Gift Certificates"
"Google Checkout Shipping - Carrier Calculated","Google Checkout Shipping - Carrier Calculated"
"Google Checkout Shipping - Flat Rate","Google Checkout Shipping - Flat Rate"
"Google Checkout Shipping - Merchant Calculated","Google Checkout Shipping - Merchant Calculated"
"Google Checkout Shipping - Pickup","Google Checkout Shipping - Pickup"
"Location","Location"
"Merchant ID","Merchant ID"
"Merchant Key","Merchant Key"
"Sandbox","Sandbox"
