" Copy"," Copy"
"Action","Action"
"Add New Template","Add New Template"
"Add to Queue","Add to Queue"
"Are you sure that you want to delete this template?","Are you sure that you want to delete this template?"
"Are you sure that you want to strip all tags?","Are you sure that you want to strip all tags?"
"Back","Back"
"Cancel","Cancel"
"Cancelled","Cancelled"
"Cannot delete subscriber","Cannot delete subscriber"
"Cannot delete template","Cannot delete template"
"Cannot mark as received subscriber","Cannot mark as received subscriber"
"Cannot save your subscription: %s","Cannot save your subscription: %s"
"Confirmation Email Sender","Confirmation Email Sender"
"Confirmation Email Template","Confirmation Email Template"
"Confirmation request has been sent","Confirmation request has been sent"
"Convert to Plain Text","Convert to Plain Text"
"Create Newsletter Template","Create Newsletter Template"
"Date Added","Date Added"
"Date Updated","Date Updated"
"Delete Selected Problems","Delete Selected Problems"
"Delete Template","Delete Template"
"Do you really want to cancel the queue?","Do you really want to cancel the queue?"
"Duplicate of template code","Duplicate of template code"
"Edit Newsletter","Edit Newsletter"
"Edit Newsletter Template","Edit Newsletter Template"
"Edit Queue","Edit Queue"
"Edit Template","Edit Template"
"Email","Email"
"Error Code","Error Code"
"Error Text","Error Text"
"Form was filled incorrectly","Form was filled incorrectly"
"ID","ID"
"Invalid queue selected","Invalid queue selected"
"Invalid subscriber ID","Invalid subscriber ID"
"Invalid subscription ID","Invalid subscription ID"
"Invalid subscription confirmation code","Invalid subscription confirmation code"
"Message","Message"
"Name","Name"
"Need to Confirm","Need to Confirm"
"New Newsletter Template","New Newsletter Template"
"New Template","New Template"
"Newsletter","Newsletter"
"Newsletter Message Preview","Newsletter Message Preview"
"Newsletter Problem Reports","Newsletter Problem Reports"
"Newsletter Queue","Newsletter Queue"
"Newsletter Subscribers","Newsletter Subscribers"
"Newsletter Templates","Newsletter Templates"
"No Templates Found","No Templates Found"
"No problems found","No problems found"
"No subscribers selected","No subscribers selected"
"Not Sent","Not Sent"
"Not activated","Not activated"
"Pause","Pause"
"Paused","Paused"
"Please enter new template name","Please enter new template name"
"Preview","Preview"
"Preview Template","Preview Template"
"Processed","Processed"
"Queue Date Start","Queue Date Start"
"Queue Finish","Queue Finish"
"Queue Information","Queue Information"
"Queue Newsletter","Queue Newsletter"
"Queue Start","Queue Start"
"Queue Subject","Queue Subject"
"Recipients","Recipients"
"Reset","Reset"
"Resume","Resume"
"Return Html Version","Return Html Version"
"Save And Resume","Save And Resume"
"Save As","Save As"
"Save Newsletter","Save Newsletter"
"Save Template","Save Template"
"Select All Stores","Select All Stores"
"Selected problem subscribers successfully unsubscribed","Selected problem subscribers successfully unsubscribed"
"Selected problems successfully deleted","Selected problems successfully deleted"
"Selected subscribers were successfully added to the selected queue","Selected subscribers were successfully added to the selected queue"
"Sender","Sender"
"Sender Email","Sender Email"
"Sender Name","Sender Name"
"Sending","Sending"
"Sent","Sent"
"Start","Start"
"Status","Status"
"Subcribed","Subcribed"
"Subject","Subject"
"Subscriber","Subscriber"
"Subscribers","Subscribers"
"Subscribers From","Subscribers From"
"Subscription Options","Subscription Options"
"Success Email Sender","Success Email Sender"
"Success Email Template","Success Email Template"
"Template Content","Template Content"
"Template Information","Template Information"
"Template Name","Template Name"
"Template Subject","Template Subject"
"Template Type","Template Type"
"Thank you for your subscription","Thank you for your subscription"
"The subscription was successfully saved","The subscription was successfully saved"
"There was a problem with the subscription: %s","There was a problem with the subscription: %s"
"There was a problem with the un-subscription: %s","There was a problem with the un-subscription: %s"
"There was an error while saving your subscription","There was an error while saving your subscription"
"Toggle Editor","Toggle Editor"
"Unselect All Stores","Unselect All Stores"
"Unsubcribed","Unsubcribed"
"Unsubscribe Selected","Unsubscribe Selected"
"Unsubscription Email Sender","Unsubscription Email Sender"
"Unsubscription Email Template","Unsubscription Email Template"
"View Newsletter","View Newsletter"
"Website","Website"
"You have been successfully unsubscribed","You have been successfully unsubscribed"
"Your subscription was successfully confirmed","Your subscription was successfully confirmed"
