"API Login ID","API Login ID"
"Authorize.net","Authorize.net"
"Credit Card Types","Credit Card Types"
"Credit Card Verification","Credit Card Verification"
"Email customer","Email customer"
"Enabled","Enabled"
"Error in refunding the payment","Error in refunding the payment"
"Error in refunding the payment.","Error in refunding the payment."
"Error in retreiving the transaction","Error in retreiving the transaction"
"Invalid transaction id","Invalid transaction id"
"Merchant's email","Merchant's email"
"New order status","New order status"
"Partner","Partner"
"Password","Password"
"PayflowPro","PayflowPro"
"Sort order","Sort order"
"TENDER","TENDER"
"Test mode","Test mode"
"Title","Title"
"Transaction key","Transaction key"
"URL","URL"
"User","User"
"VERBOSITY","VERBOSITY"
"Vendor","Vendor"
"Voided transaction","Voided transaction"
