"Added","Added"
"Average rating","Average rating"
"Bought from wishlists","Bought from wishlists"
"CSV","CSV"
"Carts","Carts"
"Created at","Created at"
"Customer","Customer"
"Customer Tags","Customer Tags"
"Customers","Customers"
"Customers Report","Customers Report"
"Customers Reviews","Customers Reviews"
"Customers Tags","Customers Tags"
"Customers that have wishlist: %s%","Customers that have wishlist: %s%"
"Detail","Detail"
"First Name","First Name"
"Hits","Hits"
"ID","ID"
"Items in Cart","Items in Cart"
"Last Name","Last Name"
"Last Review","Last Review"
"Name","Name"
"Number Added","Number Added"
"Number Fulfilled","Number Fulfilled"
"Number Of Historical Uses","Number Of Historical Uses"
"Number Of Reviews","Number Of Reviews"
"Number Of Uses","Number Of Uses"
"Number Purchased","Number Purchased"
"Number Viewed","Number Viewed"
"Number of Reviews","Number of Reviews"
"Number of Total Tags","Number of Total Tags"
"Number of Unique Tags","Number of Unique Tags"
"Number of items bought from a wishlist: %s","Number of items bought from a wishlist: %s"
"Number of times deleted","Number of times deleted"
"Number of times wishlists have been shared (emailed): %s","Number of times wishlists have been shared (emailed): %s"
"Number of wishlist conversions: %s","Number of wishlist conversions: %s"
"Number of wishlist referrals: %s","Number of wishlist referrals: %s"
"Number of wishlists: %s","Number of wishlists: %s"
"Orders","Orders"
"Poducts Report","Poducts Report"
"Popular Tags","Popular Tags"
"Popularity","Popularity"
"Price","Price"
"Product Name","Product Name"
"Product Reviews","Product Reviews"
"Product Tags","Product Tags"
"Products","Products"
"Products Report","Products Report"
"Products Reviews","Products Reviews"
"Products Tags","Products Tags"
"Reports","Reports"
"Results","Results"
"Revenue","Revenue"
"Review","Review"
"Reviews","Reviews"
"Search Report","Search Report"
"Shopcart Products","Shopcart Products"
"Shopping Cart","Shopping Cart"
"Shopping Cart Report","Shopping Cart Report"
"Submitted In","Submitted In"
"Tag","Tag"
"Tag Detail","Tag Detail"
"Tag Name","Tag Name"
"Tag use","Tag use"
"Title","Title"
"Total","Total"
"Total Tags","Total Tags"
"Visible In","Visible In"
"Wishlist Report","Wishlist Report"
"Wishlist vs. Regular Order","Wishlist vs. Regular Order"
"Wishlists","Wishlists"
"XML","XML"
