"ALL","ALL"
"ANY","ANY"
"Description: %s","Description: %s"
"Expire at: %s","Expire at: %s"
"FALSE","FALSE"
"If %s of these conditions are %s:","If %s of these conditions are %s:"
"Name: %s","Name: %s"
"Perform following actions","Perform following actions"
"Please choose a condition to add...","Please choose a condition to add..."
"Please choose an action to add...","Please choose an action to add..."
"Start at: %s","Start at: %s"
"TRUE","TRUE"
"by","by"
"contains","contains"
"does not contain","does not contain"
"equals or greater than","equals or greater than"
"equals or less than","equals or less than"
"greater than","greater than"
"is","is"
"is not","is not"
"is not one of","is not one of"
"is one of","is one of"
"less than","less than"
"to","to"
