"",""
"Actions","Actions"
"Add New Rule","Add New Rule"
"Advanced Conditions","Advanced Conditions"
"Apply","Apply"
"Attribute Set","Attribute Set"
"By Fixed value","By Fixed value"
"By Percentage","By Percentage"
"Catalog","Catalog"
"Checkout Price Rule","Checkout Price Rule"
"Conditions","Conditions"
"Conditions combination","Conditions combination"
"Coupon Code","Coupon Code"
"Coupon code","Coupon code"
"Customer Groups","Customer Groups"
"Customer is new buyer: %s","Customer is new buyer: %s"
"Customer registered: %s","Customer registered: %s"
"Date Expire","Date Expire"
"Date Start","Date Start"
"Delete Rule","Delete Rule"
"Description","Description"
"Description: %s","Description: %s"
"Disabled","Disabled"
"Discount amount","Discount amount"
"Edit Rule","Edit Rule"
"Edit Rule '%s'","Edit Rule '%s'"
"Enabled","Enabled"
"Expire at: %s","Expire at: %s"
"Fixed amount discount","Fixed amount discount"
"For matching items only","For matching items only"
"For shipment with matching items","For shipment with matching items"
"Free ground shipping","Free ground shipping"
"From Date","From Date"
"General Information","General Information"
"ID","ID"
"Invalid item entity","Invalid item entity"
"Matching Products","Matching Products"
"Maximum Qty Discount is Applied to","Maximum Qty Discount is Applied to"
"NOT LOGGED IN","NOT LOGGED IN"
"Name","Name"
"Name: %s","Name: %s"
"New Rule","New Rule"
"No","No"
"Percent of product price discount","Percent of product price discount"
"Price","Price"
"Price in cart","Price in cart"
"Priority","Priority"
"Product attribute combination","Product attribute combination"
"Promotions","Promotions"
"Quantity in cart","Quantity in cart"
"Row total in cart","Row total in cart"
"Rule Information","Rule Information"
"Rule Name","Rule Name"
"Rule was successfully deleted","Rule was successfully deleted"
"Rule was successfully saved","Rule was successfully saved"
"SKU","SKU"
"Save Rule","Save Rule"
"Shopping Cart Price Rules","Shopping Cart Price Rules"
"Special price","Special price"
"Start at: %s","Start at: %s"
"Status","Status"
"Stop further rules processing","Stop further rules processing"
"Stores","Stores"
"The page you are trying to save no longer exists","The page you are trying to save no longer exists"
"This rule no longer exists","This rule no longer exists"
"To Date","To Date"
"To Fixed Value","To Fixed Value"
"To Percentage","To Percentage"
"Unable to find a page to delete","Unable to find a page to delete"
"Update product's %s %s: %s","Update product's %s %s: %s"
"Update the Product","Update the Product"
"Use advanced conditions","Use advanced conditions"
"Uses per coupon","Uses per coupon"
"Uses per customer","Uses per customer"
"Yes","Yes"
